"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"29","Crypturellus kerriae","Choco Tinamou","Tinamidae (Tinamous)","VU"
"4","Casuarius casuarius","Southern Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"5","Casuarius bennetti","Dwarf Cassowary","Casuariidae (Cassowaries, Emus)","LC"
"31791","Apteryx rowi","Okarito Kiwi","Apterygidae (Kiwis)","VU"
"128","Leipoa ocellata","Malleefowl","Megapodiidae (Megapodes)","VU"
"116","Macrocephalon maleo","Maleo","Megapodiidae (Megapodes)","EN"
"127","Eulipoa wallacei","Moluccan Scrubfowl","Megapodiidae (Megapodes)","VU"
"117","Megapodius nicobariensis","Nicobar Scrubfowl","Megapodiidae (Megapodes)","VU"
"73","Penelope barbata","Bearded Guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"74","Penelope ortoni","Baudo Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"85","Penelope ochrogaster","Chestnut-bellied Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"95","Oreophasis derbianus","Horned Guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"103","Crax rubra","Great Curassow","Cracidae (Guans, Chachalacas, Curassows)","VU"
"104","Crax alberti","Blue-billed Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"1016864","Pauxi unicornis","Horned Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"1016865","Pauxi koepckeae","Sira Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"312","Dendrortyx barbatus","Bearded Wood-partridge","Odontophoridae (New World quails)","VU"
"333","Odontophorus strophium","Gorgeted Wood-quail","Odontophoridae (New World quails)","VU"
"218","Arborophila gingica","Collared Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"282","Rheinardia ocellata","Crested Argus","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"276","Polyplectron inopinatum","Mountain Peacock-pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"203","Anurophasis monorthonyx","Snow Mountain Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"239","Tragopan blythii","Blyth's Tragopan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"269","Syrmaticus mikado","Mikado Pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"261","Lophura bulweri","Bulwer's Pheasant","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"294","Lyrurus mlokosiewiczi","Caucasian Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"30035","Centrocercus minimus","Gunnison Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","EN"
"302","Tympanuchus cupido","Greater Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","NT"
"303","Tympanuchus pallidicinctus","Lesser Prairie-chicken","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","VU"
"344","Chauna chavaria","Northern Screamer","Anhimidae (Screamers)","NT"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"486","Somateria fischeri","Spectacled Eider","Anatidae (Ducks, Geese, Swans)","NT"
"487","Polysticta stelleri","Steller's Eider","Anatidae (Ducks, Geese, Swans)","VU"
"112634","Melanitta nigra","Common Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"31681","Melanitta americana","Black Scoter","Anatidae (Ducks, Geese, Swans)","NT"
"501","Mergus squamatus","Scaly-sided Merganser","Anatidae (Ducks, Geese, Swans)","EN"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"461","Sibirionetta formosa","Baikal Teal","Anatidae (Ducks, Geese, Swans)","LC"
"1016753","Anas albogularis","Andaman Teal","Anatidae (Ducks, Geese, Swans)","VU"
"30002","Anas chlorotis","Brown Teal","Anatidae (Ducks, Geese, Swans)","NT"
"426","Anas capensis","Cape Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3771","Phoeniconaias minor","Lesser Flamingo","Phoenicopteridae (Flamingos)","NT"
"2458","Columba thomensis","Sao Tome Olive-pigeon","Columbidae (Pigeons, Doves)","EN"
"2527","Turacoena modesta","Black Cuckoo-dove","Columbidae (Pigeons, Doves)","NT"
"2596","Zentrygon goldmani","Russet-crowned Quail-dove","Columbidae (Pigeons, Doves)","NT"
"2622","Alopecoenas canifrons","Palau Ground-dove","Columbidae (Pigeons, Doves)","EN"
"2754","Goura cristata","Western Crowned-pigeon","Columbidae (Pigeons, Doves)","VU"
"1016949","Phapitreron frontalis","Cebu Brown-dove","Columbidae (Pigeons, Doves)","CR"
"2719","Ducula oceanica","Micronesian Imperial-pigeon","Columbidae (Pigeons, Doves)","VU"
"2726","Ducula rosacea","Pink-headed Imperial-pigeon","Columbidae (Pigeons, Doves)","NT"
"2658","Ramphiculus marchei","Flame-breasted Fruit-dove","Columbidae (Pigeons, Doves)","VU"
"1016741","Hemiphaga novaeseelandiae","New Zealand Pigeon","Columbidae (Pigeons, Doves)","NT"
"32692","Antrostomus vociferus","Eastern Whip-poor-will","Caprimulgidae (Nightjars)","NT"
"2378","Antrostomus carolinensis","Chuck-will's-widow","Caprimulgidae (Nightjars)","NT"
"1016559","Caprimulgus phalaena","Palau Nightjar","Caprimulgidae (Nightjars)","NT"
"1697","Cypseloides rothschildi","Rothschild's Swift","Apodidae (Swifts)","NT"
"1706","Hydrochous gigas","Waterfall Swift","Apodidae (Swifts)","NT"
"1711","Aerodramus francicus","Mascarene Swiftlet","Apodidae (Swifts)","NT"
"1827","Ramphodon naevius","Saw-billed Hermit","Trochilidae (Hummingbirds)","NT"
"1828","Glaucis dohrnii","Hook-billed Hermit","Trochilidae (Hummingbirds)","EN"
"32702","Phaethornis aethopygus","Tapajos Hermit","Trochilidae (Hummingbirds)","VU"
"1979","Phlogophilus harterti","Peruvian Piedtail","Trochilidae (Hummingbirds)","NT"
"32190","Aglaiocercus berlepschi","Venezuelan Sylph","Trochilidae (Hummingbirds)","EN"
"2055","Metallura baroni","Violet-throated Metaltail","Trochilidae (Hummingbirds)","EN"
"2044","Haplophaedia lugens","Hoary Puffleg","Trochilidae (Hummingbirds)","NT"
"32509","Eriocnemis isabellae","Gorgeted Puffleg","Trochilidae (Hummingbirds)","CR"
"1016968","Coeligena consita","Perija Starfrontlet","Trochilidae (Hummingbirds)","EN"
"1839","Campylopterus ensipennis","White-tailed Sabrewing","Trochilidae (Hummingbirds)","NT"
"1900","Thalurania watertonii","Long-tailed Woodnymph","Trochilidae (Hummingbirds)","EN"
"1955","Amazilia castaneiventris","Chestnut-bellied Hummingbird","Trochilidae (Hummingbirds)","NT"
"1934","Amazilia luciae","Honduran Emerald","Trochilidae (Hummingbirds)","VU"
"1941","Amazilia boucardi","Mangrove Hummingbird","Trochilidae (Hummingbirds)","EN"
"1905","Amazilia lilliae","Sapphire-bellied Hummingbird","Trochilidae (Hummingbirds)","CR"
"1917","Goethalsia bella","Pirre Hummingbird","Trochilidae (Hummingbirds)","NT"
"1017064","Neomorphus geoffroyi","Rufous-vented Ground-cuckoo","Cuculidae (Cuckoos)","VU"
"1332","Neomorphus radiolosus","Banded Ground-cuckoo","Cuculidae (Cuckoos)","EN"
"1300","Centropus unirufus","Rufous Coucal","Cuculidae (Cuckoos)","NT"
"1016835","Coccyzus bahamensis","Bahama Lizard-cuckoo","Cuculidae (Cuckoos)","NT"
"2801","Heliopais personatus","Masked Finfoot","Heliornithidae (Finfoots)","EN"
"2830","Rallina canningi","Andaman Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"2843","Laterallus spilonota","Galapagos Rail","Rallidae (Rails, Gallinules, Coots)","VU"
"1017067","Rallus elegans","King Rail","Rallidae (Rails, Gallinules, Coots)","NT"
"2866","Rallus wetmorei","Plain-flanked Rail","Rallidae (Rails, Gallinules, Coots)","EN"
"2868","Rallus semiplumbeus","Bogota Rail","Rallidae (Rails, Gallinules, Coots)","EN"
"31539","Gallirallus calayanensis","Calayan Rail","Rallidae (Rails, Gallinules, Coots)","VU"
"2848","Gallirallus australis","Weka","Rallidae (Rails, Gallinules, Coots)","VU"
"2878","Crex crex","Corncrake","Rallidae (Rails, Gallinules, Coots)","LC"
"2885","Aramides wolfi","Brown Wood-rail","Rallidae (Rails, Gallinules, Coots)","VU"
"2901","Zapornia pusilla","Baillon's Crake","Rallidae (Rails, Gallinules, Coots)","LC"
"2804","Psophia leucoptera","White-winged Trumpeter","Psophiidae (Trumpeters)","NT"
"2785","Balearica regulorum","Grey Crowned Crane","Gruidae (Cranes)","EN"
"2787","Grus antigone","Sarus Crane","Gruidae (Cranes)","VU"
"2793","Bugeranus carunculatus","Wattled Crane","Gruidae (Cranes)","VU"
"2792","Anthropoides paradiseus","Blue Crane","Gruidae (Cranes)","VU"
"2796","Grus americana","Whooping Crane","Gruidae (Cranes)","EN"
"2794","Grus grus","Common Crane","Gruidae (Cranes)","LC"
"2797","Grus nigricollis","Black-necked Crane","Gruidae (Cranes)","NT"
"2759","Tetrax tetrax","Little Bustard","Otididae (Bustards)","NT"
"2760","Otis tarda","Great Bustard","Otididae (Bustards)","VU"
"1016854","Chlamydotis undulata","African Houbara","Otididae (Bustards)","VU"
"32131","Chlamydotis macqueenii","Asian Houbara","Otididae (Bustards)","VU"
"2762","Neotis ludwigii","Ludwig's Bustard","Otididae (Bustards)","EN"
"2761","Neotis denhami","Denham's Bustard","Otididae (Bustards)","NT"
"2766","Ardeotis kori","Kori Bustard","Otididae (Bustards)","NT"
"2767","Ardeotis nigriceps","Great Indian Bustard","Otididae (Bustards)","CR"
"2782","Houbaropsis bengalensis","Bengal Florican","Otididae (Bustards)","CR"
"2131","Tauraco ruspolii","Ruspoli's Turaco","Musophagidae (Turacos)","VU"
"3865","Gavia stellata","Red-throated Loon","Gaviidae (Loons/Divers)","LC"
"3866","Gavia arctica","Arctic Loon","Gaviidae (Loons/Divers)","LC"
"3854","Eudyptes pachyrhynchus","Fiordland Penguin","Spheniscidae (Penguins)","NT"
"3860","Eudyptula minor","Little Penguin","Spheniscidae (Penguins)","LC"
"3864","Spheniscus mendiculus","Galapagos Penguin","Spheniscidae (Penguins)","EN"
"32544","Hydrobates monteiroi","Monteiro's Storm-petrel","Hydrobatidae (Northern Storm-petrels)","VU"
"3984","Hydrobates markhami","Markham's Storm-petrel","Hydrobatidae (Northern Storm-petrels)","NT"
"3988","Hydrobates hornbyi","Ringed Storm-petrel","Hydrobatidae (Northern Storm-petrels)","NT"
"3896","Pterodroma sandwichensis","Hawaiian Petrel","Procellariidae (Petrels, Shearwaters)","EN"
"3911","Pterodroma hasitata","Black-capped Petrel","Procellariidae (Petrels, Shearwaters)","EN"
"3930","Ardenna carneipes","Flesh-footed Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"3940","Puffinus opisthomelas","Black-vented Shearwater","Procellariidae (Petrels, Shearwaters)","NT"
"1018410","Puffinus newelli","Newell's Shearwater","Procellariidae (Petrels, Shearwaters)","CR"
